specObjID,z,ra,dec,type,dered_u,dered_g,dered_r,dered_i,dered_z
2654873968183371776,0.123531,162.76791,27.063945,3,20.5196,18.57988,17.61887,17.1141,16.78842
7247590704918321152,0.5089166,162.77309,27.353971,3,25.14353,21.58584,19.94772,19.13115,18.73031
7247591804429948928,0.6250457,162.774,27.333344,3,24.53952,22.29206,21.20142,19.97975,19.74817
2656076009320769536,0.2446207,162.79216,27.374767,3,21.3963,19.22545,17.72357,17.11898,16.73716
2656076834390697984,0.2445234,162.79216,27.374767,3,21.3963,19.22545,17.72357,17.11898,16.73716
7247589605406693376,2.170755,162.79317,27.391256,6,21.16845,20.6489,20.61963,20.52375,20.52645
7247591529552041984,0.3492059,162.80859,27.211599,3,23.81075,21.11402,19.26148,18.69504,18.26675
7247591254674135040,0.6462427,162.80933,27.253863,3,24.11204,22.46484,20.75319,19.33058,18.81941
11792850308358756352,1.297989,162.81178,27.373794,null,null,null,null,null,null
3673866728477138944,0.0001010188,162.82655,27.156904,6,23.11863,20.80357,19.28364,18.53478,18.09641
7247594278331111424,-0.0004246989,162.82982,27.124096,6,22.14031,21.22161,21.03872,21.09163,20.48828
11793901441374246912,0.6458231,162.84376,27.124364,3,24.07757,22.87097,21.74857,21.19865,20.87448
2656075734442862592,0.08403805,162.84378,27.326306,3,20.31355,18.56602,17.67506,17.31119,17.03033
2656076559512791040,0.08401771,162.84378,27.326306,3,20.31355,18.56602,17.67506,17.31119,17.03033
3673869477256208384,-0.0002743854,162.85153,27.277328,6,18.00912,16.89003,16.45291,16.31138,16.2723
3673870576767836160,-6.60297E-05,162.85448,27.305273,6,20.60781,18.2901,17.34442,17.02788,16.86463
7247592354185762816,0.6391649,162.86572,27.267279,3,23.76296,24.24389,21.12698,19.79183,19.20929
3673871126523650048,-0.000239459,162.86816,27.162802,6,19.52295,18.6266,18.34454,18.28129,18.29146
7247593178819483648,-0.0002667152,162.86816,27.1628,6,19.52295,18.6266,18.34454,18.28129,18.29146
7247584382726461440,1.272228,162.67988,26.933482,null,null,null,null,null,null
3673868927500394496,0.0001478216,162.68973,26.961069,6,18.32795,16.73524,16.09133,15.85799,15.76293
11787306020807923712,0.8289534,162.75389,26.964403,3,23.39709,23.2607,22.4445,21.53507,21.75905
2654877541596162048,0.299368,162.79755,26.916079,3,22.26749,19.73126,18.12209,17.5919,17.2662
3673868102866673664,-0.000162645,162.82114,26.96567,6,18.11895,16.97863,16.52371,16.32421,16.23391
11793902266007967744,0.07259457,162.87345,26.941783,3,22.63857,22.03433,21.23015,20.54445,20.1585
11792842062021548032,0.8227897,162.88446,26.914934,null,null,null,null,null,null
11792852782259918848,0.8259338,162.94491,26.968365,3,22.89937,22.6479,22.38354,21.59435,21.68063
11793891270891689984,1.184918,162.96309,26.942589,3,22.55615,21.98051,21.56894,20.9483,20.9732
11793890171380062208,0.8296667,162.97208,26.966874,3,22.83557,22.47174,22.07411,21.45988,20.9608
11792852507382011904,0.8789651,162.9723,26.911372,3,21.98667,22.7272,22.01426,21.6112,21.8837
7247597851743901696,0.5525661,162.9805,26.967721,3,25.51775,22.18338,20.3626,19.48419,18.93878
11563250570912618496,1.650949,162.8179,33.910834,6,21.10241,21.09934,21.19579,20.86026,20.6269
11560883597239146496,0.8288608,162.81976,33.908786,3,22.86513,22.89941,21.94598,20.7821,19.88239
7255531377877342208,0.5145128,162.84756,33.842269,3,23.45571,21.08496,19.53479,18.6338,18.25589
11792845085678524416,0.7688218,162.83884,26.638139,3,23.94951,22.78075,22.12461,21.35204,20.8563
11787308769586993152,0.7359967,162.84677,26.535586,3,22.47216,22.64049,22.0288,21.0323,21.22358
2653837953284990976,0.137794,162.87913,26.593442,3,19.711,17.77326,16.78829,16.35182,16.03441
11787308494709086208,-0.0004631354,162.89394,26.58474,null,null,null,null,null,null
2653839602552432640,0.1232323,162.91691,26.61437,3,18.23129,16.9693,16.19894,15.8001,15.5358
11787309044464900096,0.8890119,162.92164,26.624647,3,23.25127,22.69233,21.8236,21.16743,20.75909
11787309319342807040,1.013441,162.94563,26.546843,3,22.75906,22.8594,22.23528,22.01576,21.38159
2353256482604083200,0.1249972,162.79756,37.555183,3,18.79498,18.24263,17.66371,17.26625,17.1035
9931663538400811008,1.614112,162.80012,37.550956,6,21.21419,20.89678,20.88377,20.70013,20.4984
2259725976416053248,0.501074,162.80484,37.634883,3,24.22574,21.64649,19.82336,18.86978,18.41499
9931664637912438784,2.128132,162.80899,37.656985,6,21.13153,21.0698,20.95527,20.78553,20.82057
2259730099584657408,0.1249411,162.80922,37.694456,3,19.14997,17.96617,17.4193,17.1204,16.93108
2259730649340471296,-0.0008013317,162.81071,37.732939,null,null,null,null,null,null
5213107703166294016,0.467513,162.83185,37.650315,3,22.31492,21.49069,19.98374,19.12321,18.8466
9965602159268747264,0.8170842,162.84437,37.59297,3,23.42892,25.38875,21.94291,20.34843,19.46663
5213106328776759296,0.4717619,162.84457,37.694864,3,25.50888,21.78802,20.10711,19.2981,18.92574
5213107428288387072,1.974206,162.85678,37.674666,6,22.34886,21.46995,21.28623,21.37943,21.65665
9965601884390840320,0.9965186,162.85758,37.572035,6,20.82212,20.72509,20.45551,20.41602,20.24718
2259726251293960192,0.03041927,162.86133,37.518814,3,19.8756,18.18602,17.2784,16.79852,16.32098
9965599960245491712,0.0006436267,162.87112,37.680753,6,22.1547,21.20265,20.82673,20.68873,20.51057
5213118698282571776,0.4725685,162.87627,37.533796,3,24.76938,21.57703,19.66657,18.81765,18.44429
9931653367918254080,0.0006603421,162.87729,37.598799,6,25.8555,21.90784,20.5839,20.03253,19.57112
5213116499259316224,0.5021988,162.88096,37.701281,3,22.79082,21.73545,20.0123,19.06796,18.66699
5213118148526757888,0.5579219,162.89778,37.557256,3,21.62504,20.94459,19.59103,18.73962,18.07932
9931652543284533248,0.3251601,162.89795,37.748227,6,22.59714,22.20061,21.80521,22.3904,21.12424
2353277373325010944,-2.015792E-05,162.89847,37.686858,6,22.22618,19.89725,18.56156,17.98352,17.66377
9931654467429881856,0.6808585,162.91431,37.650325,null,null,null,null,null,null
2259725701538146304,0.03062669,162.91626,37.526985,3,17.13627,15.89174,15.3752,15.11555,14.8947
9965600510001305600,0.7444989,162.92057,37.651781,3,22.41498,22.61399,21.50885,20.28241,19.59847
5213117049015130112,0.6066489,162.93781,37.715413,3,25.24077,22.50935,20.84903,19.6181,18.96982
5213118973160478720,1.623331,162.93791,37.681459,6,21.28136,20.50616,19.94019,19.46277,19.31044
