specObjID,z,class,subClass,type,ra,dec,dered_u,dered_g,dered_r,dered_i,dered_z
563121510689040384,7.651666E-05,STAR,M5,6,150.57084,2.4416431,23.33902,22.67544,21.17188,19.25864,18.31274
563122610200668160,0.000221876,STAR,F9,6,150.48427,2.4338586,18.23025,17.04383,16.59196,16.43502,16.42694
563123984590202880,0.0004141925,STAR,A0,6,150.49555,2.2127911,19.66594,18.79175,18.73915,18.74056,18.72559
564076990336886784,0.000744812,STAR,CV,6,151.88601,1.1540557,19.8342,19.43202,19.27932,19.22159,19.26562
564080288871770112,0.0001093933,STAR,M6,6,152.06043,1.3223861,23.66354,22.18191,20.66368,18.66779,17.54142
564083587406653440,0.0001788838,STAR,M6,6,152.13172,1.4970633,23.53838,22.13498,20.30267,18.43589,17.28872
564087435697350656,-0.0001357311,STAR,A0,6,151.67598,0.72851082,16.95104,15.9091,15.81121,15.82677,15.86219
564092933255489536,-0.000292055,STAR,Carbon_lines,6,152.05018,1.4492191,25.92911,21.72706,20.07193,19.59629,19.45382
564093208133396480,0.0001624852,STAR,A0,6,152.02063,1.4585281,16.55047,15.29606,15.50744,15.66234,15.76163
564093757889210368,0.000474184,STAR,A0,6,151.94746,1.4660977,20.28494,19.23382,19.49915,19.72717,20.07677
564095407156652032,0.0008780881,STAR,A0,6,152.08323,2.0852451,20.3922,19.45337,19.27067,19.2439,19.293
564095956912465920,0.0003701234,STAR,M0V,6,152.11587,1.9137619,24.35446,21.5627,19.70447,18.85485,18.34803
564100080081070080,-7.161998E-05,STAR,K3,6,151.06561,0.94602461,17.84701,15.65622,14.87926,14.64896,14.52529
564105302761302016,0.0007017553,STAR,A0,6,151.44834,1.4409231,20.0146,18.97173,18.98918,19.01654,19.12032
564106127395022848,3.717152E-05,STAR,M7,6,151.54674,1.7605106,25.62507,22.93443,21.46561,18.92875,17.53297
564106402272929792,0.000447436,STAR,A0,6,151.66943,1.9387479,18.42008,17.20545,17.37239,17.55246,17.68334
564108326418278400,0.0009322151,STAR,A0,6,151.54669,2.0477492,20.21886,19.19674,19.19377,19.27849,19.30947
564114098854324224,0.0002463681,STAR,A0,6,150.89549,1.2359625,20.5066,19.26289,19.39193,19.4894,19.50079
564114923488045056,0.000785714,STAR,F5,6,151.35899,1.8181718,18.31589,17.37093,17.08382,16.98451,16.97709
564115198365952000,-1.806479E-05,STAR,M5,6,151.33826,1.6468222,24.39624,22.10401,20.45243,18.64927,17.57074
564117672267114496,3.820223E-05,STAR,M6,6,151.33066,2.0655298,24.16645,22.44786,20.88609,18.61478,17.43255
564118771778742272,0.0001969131,STAR,M5,6,151.23526,1.9225613,25.33419,22.49763,20.95989,19.06657,18.05875
564123444703160320,0.0006212933,STAR,A0,6,151.0388,1.9577954,16.83918,15.95871,15.72536,15.66786,15.6907
564133065429903360,0.0006396938,STAR,F5,6,150.52628,1.1043903,17.81508,16.88671,16.67449,16.56493,16.53786
564133340307810304,7.635826E-05,STAR,M8,6,150.61265,0.74488,23.72694,24.44007,23.10775,20.285,18.65684
564134714697345024,0.0001088232,STAR,F5,6,150.66617,1.3075751,17.33077,16.44442,16.18044,16.09348,16.07752
564134989575251968,7.291099E-05,STAR,K3,6,150.7539,1.2769541,15.98228,14.04949,13.38626,13.19901,13.11636
564136363964786688,-9.101507E-06,STAR,A0,6,150.73505,1.2944433,18.01511,16.80544,16.93142,17.02698,17.12135
564137188598507520,0.0007516582,STAR,F5,6,150.47634,1.9979587,19.08593,18.15453,17.80084,17.68348,17.67462
564140212255483904,0.001177445,STAR,F5,6,150.52487,1.6148318,19.26302,18.46479,18.17756,18.07541,18.09169
564145434935715840,0.0007756742,STAR,A0,6,150.28634,0.65319712,18.68984,17.94316,18.2545,18.48807,18.67994
564147084203157504,0.0002266811,STAR,F5,6,150.44914,0.61519408,17.28404,16.25173,16.08523,16.03588,16.04716
564147908836878336,0.00061971,STAR,M2V,6,150.28973,1.9139326,22.91744,20.74443,19.06446,18.11168,17.56358
