,SOURCE_ID,ra,ra_error,dec,dec_error,period,eccentricity,center_of_mass_velocity,temperature_ratio
68,3094953575234213120,121.72175947999895,0.026695726,5.279150712642808,0.057659384,622.2221151598231,0.516594967660686,,
69,954967767604281728,96.78910543689543,0.06559152,37.28728254709746,0.047534678,738.9547548355914,0.1961549436141472,,
70,956248118832900096,93.20584025453059,0.038936567,38.58145097013141,0.075892754,246.39133092698708,0.5817965633323574,-17.11333911617715,
71,60696855784211072,48.21135843810588,0.086113356,21.248582502718797,0.124993496,932.7964794618263,0.39783324578720497,,
72,61030974178262912,50.82664379609401,0.10057102,20.752991558974376,0.092405945,493.6212711283036,0.2560953863611146,,
73,61685321035017472,51.681781121869776,0.14778359,21.935175972872386,0.101108745,908.0592842894887,0.026030965980442154,,
74,63161552833452288,56.11555365736759,0.15196161,20.25323837368456,0.06409636,601.8770409056574,0.13229155280748725,11.01925081493776,
75,64759173291712768,56.18776793717113,0.10872756,22.29559267535514,0.06508031,988.2593364057004,0.18945900008290312,,
76,2803774205815590528,13.350367317342695,0.100228354,22.790525071744938,0.13970819,768.6876216340241,0.5890956977369204,,
77,2806863627331290240,9.934405793337614,0.05319344,25.814773829441236,0.055349175,790.892131968148,0.34486890973969586,,
78,2807266460903907456,6.503408727665872,0.03345923,24.950006979258756,0.03550303,1073.2955009224656,0.5049899509294278,,
79,2808737328288344064,13.816265911290179,0.08881461,27.16348450676182,0.068560615,1062.9966910193534,0.14088989718195064,,
80,2809836908636338560,12.211819887699784,0.07056271,28.334354877444813,0.033175517,778.642838237342,0.00023507418563953341,,
81,2810187691500107136,11.174054523426948,0.28647175,29.32151301576912,0.09832766,483.3460242087805,0.6666355001992028,,
82,2779721564324329344,10.030490214232753,0.045802277,14.801589591083514,0.076870315,1230.966172293482,0.5725258547576865,,
83,2779779013806800512,9.564739337278919,0.063640505,14.901227763322792,0.06977106,842.0920008548919,0.8042282079214395,,
84,2782704058334148224,11.64229562357848,0.031551156,17.497095914599523,0.049702268,688.78926602479,0.4038130686301072,,
85,2786479781263768832,20.9521279477291,0.08626388,19.69937247541728,0.05349815,549.1246304505588,0.13336235279306252,,
86,3351740869472059264,102.33781922285365,0.6113158,12.542234688683203,0.3190556,1199.083504569093,0.5415635008407345,,
87,2792880721348470400,6.875901814281329,0.11109157,16.381595443216057,0.051213697,972.8600155213936,0.1908058896092753,,
88,2795113558882031104,10.14572941125993,0.034549072,19.027688123424763,0.07751036,988.4195585948715,0.25404705298745284,,
89,3353510125417799040,105.65065362064428,0.018837871,13.669214461640014,0.099890105,578.5852235195288,0.0432186222120933,,
90,2795659496469315328,7.474045553099466,0.032289177,18.842560049574367,0.05442537,873.3798098405292,0.4639643385564736,,
91,2796141602254069504,7.11037192646684,0.060589567,20.33232794542068,0.06765065,1241.5365274766918,0.34337304133114693,,
92,2796837490035246976,2.420720356356326,0.11492426,17.753820053760677,0.06826082,879.8449129647629,0.09897946248371926,,
93,2797021658233051776,2.0281813174163883,0.05673654,17.70753133579579,0.15679118,1131.5866487814758,0.31974802800187446,,
94,2797337252429824896,4.626096635996704,0.11235699,18.697619117474787,0.16077,888.4081495905808,0.4324028874891455,,
95,2797952978941358592,0.9356807051482949,0.86520594,18.856355357778064,0.4774696,1784.977105745103,0.44073696582809346,,
96,2798848084485608064,2.8055016613167885,0.11795354,20.82969789813087,0.057076592,1108.4581653848916,0.17566063045885452,,
97,2798922950059754112,2.3763181490477314,0.090486735,21.246225512786488,0.07141955,574.253367722542,0.593802408055656,,
98,2799083414333545088,5.113507816546994,0.048134062,20.20050954978179,0.045555547,537.0750521742199,0.05405835966415387,,
99,3437803187929620480,91.39436061800102,0.07910353,30.30623316298672,0.07005112,870.3838910905923,0.5532048035879293,,
100,3439612086416584832,96.81143449564857,0.07024664,33.895047335890425,0.057211902,864.9954023548681,0.5816387606945514,,
101,2571855077162098944,24.465474425301963,0.08792536,7.981639714555063,0.054633692,780.228664555089,0.35213996622367394,,
102,2571961141379291008,24.39926600685345,0.088982984,8.598801165545934,0.059674963,859.0486718976831,0.34182382994229926,,
103,2573937277307261824,27.921680779771318,0.03138235,10.540068722639626,0.12584358,817.5042542355669,0.2761553555020802,,
104,2581557751881257216,15.59851658308721,0.13124886,9.817390081339042,0.09934251,596.2823742840748,0.5602079284648844,,
105,2582104965075261312,12.074980824805502,0.13306126,10.052269445799766,0.04715788,494.6017192775665,0.665294513307215,,
106,226970299835627008,61.42839928006013,0.07194141,39.590569553812195,0.06341199,584.332231507895,0.1878530867314201,,
107,2874326190479121792,1.9153169163905392,0.10083919,33.39475115988781,0.1332494,956.5411807606465,0.42649168702292284,,
108,2874376699294272768,0.878267260498445,0.04242132,33.55891958209785,0.038935956,435.9588204725089,0.32096741485320956,,
109,2875650861471887488,2.347728691542881,0.05987497,33.70295274408565,0.10380381,893.6461134675752,0.47490477309432516,,
110,2876219721300107136,4.3574545625677725,0.12232488,35.12206311404662,0.19398268,511.0232582742827,0.4533824612882417,,
111,2877362663636580096,2.7259536200698897,0.048223168,36.73557222916302,0.022714633,528.9429681346479,0.3334447002520924,-18.677550871685185,
112,2880061002610028672,0.1967614375354362,0.12853907,35.93051647824295,0.043157738,626.5640344094853,0.8106364030594201,-86.14629318072873,
113,2880662847788620288,2.0215777699742397,0.03559402,37.96143003841805,0.025478764,515.898654226169,0.055396007178770135,,
114,332248057157474176,32.31460652181243,0.3246814,38.073720700833384,0.20745826,274.51840107773893,0.02423606590950626,,
115,333811459611811584,39.52461562088347,0.09561856,38.434296633609215,0.07087068,591.7273760205622,0.2099675932298019,,
116,764020844543823616,169.85114821904574,0.058530137,38.04002449027771,0.07842686,585.2487176006027,0.2621615336254802,,
117,2569496860943202176,32.15433414385042,0.08079142,8.491805518896626,0.08817405,236.9301804589924,0.12824032548347897,,
118,2580203187915568256,20.728572993596305,0.11774863,10.874540448803604,0.05691353,735.0332504949291,0.4724340297245902,,
119,2581369559298966400,15.722981035291797,0.036770154,9.800483057832452,0.07466855,257.7539137273884,0.4277598247538343,-23.67262390820734,
120,2587765658955560576,25.12580591926856,0.20558208,13.626247422540683,0.13502742,936.3791236577981,0.29270497296079645,,
121,3113666816466209664,102.4344011373157,0.053108245,0.9927616098016296,0.05453035,545.2522058130402,0.3121232463459968,,
122,2876394096972651520,3.490099088483737,0.109149605,35.04534132573003,0.076043665,190.98502313220527,0.6149089771776647,,
123,2876899803602146688,1.816908475099453,0.022088284,35.66996888549041,0.01822008,831.175151876792,0.009103022049004043,-26.90890224221407,
124,2880303754162626560,0.5742270410604129,0.15562609,37.31628880754576,0.0712626,699.8995019503038,0.6182310570795255,,
125,2880511046464410112,0.36454856714846734,0.0664469,37.65529733638864,0.039516952,969.0198938852869,0.3845922054132751,,
126,764487754733062144,167.33035322238945,0.06808165,37.294436711268844,0.039052013,264.45611585166984,0.20326965030813796,38.33333355744021,
127,766804876704668160,173.27966778872158,0.14187253,38.149961071741934,0.093171924,930.5926945389355,0.33678280380068465,,
128,766853564453940096,173.0790670470041,0.10800177,38.19941996526035,0.08119402,115.4048886494348,0.05067779634823051,,
129,3426739111656071296,93.10846248022118,0.16742143,25.348856060263095,0.18750636,1272.0781082300182,0.4238933795524145,,
130,793635601827019136,147.78754154758616,0.08425829,33.254939168420975,0.045302182,536.7963902189844,0.6962389698378442,,
