source_id,ra,ra_error,dec,dec_error,source_id,teff_gspphot,spectraltype_esphs,lum_flame,mass_flame
3830123878907644800,150.51176157161188,0.15810479,-1.1759841343942254,0.15555069,4295806720,5052.976,F,0.15797018,
3830125017073474816,150.65626278836822,4.987586,-1.1315738930110353,7.46576,4295806720,5052.976,F,0.15797018,
3830125051433923072,150.63566502592622,8.546968,-1.1343952880949322,12.592682,4295806720,5052.976,F,0.15797018,
3833126816961679360,150.52329111413232,1.2875828,-1.1411666356363983,0.8806591,4295806720,5052.976,F,0.15797018,
3833126851321417856,150.50326379785201,0.1239865,-1.1415087952739027,0.14225045,4295806720,5052.976,F,0.15797018,
3830123878907644800,150.51176157161188,0.15810479,-1.1759841343942254,0.15555069,4295806720,5052.976,F,0.15797018,
3830125051433923072,150.63566502592622,8.546968,-1.1343952880949322,12.592682,4295806720,5052.976,F,0.15797018,
3830126181010167936,150.60188281469604,0.54667544,-1.0867904789990523,0.6626155,4295806720,5052.976,F,0.15797018,
3830126558967453184,150.6183652193665,5.9903994,-1.0787392924674315,7.714451,4295806720,5052.976,F,0.15797018,
3833126816961679360,150.52329111413232,1.2875828,-1.1411666356363983,0.8806591,4295806720,5052.976,F,0.15797018,
3833126851321417856,150.50326379785201,0.1239865,-1.1415087952739027,0.14225045,4295806720,5052.976,F,0.15797018,
3833129600100496640,150.4959803404689,0.63505125,-1.0663603847703051,0.66251624,4295806720,5052.976,F,0.15797018,
3833132932995547520,150.4646429817626,0.7855248,-1.0130246170170687,0.91975754,4295806720,5052.976,F,0.15797018,
3833132937289996032,150.46628134768292,6.485769,-1.0189250448170941,2.4970217,4295806720,5052.976,F,0.15797018,
3833343798709232512,150.73531889249108,0.33527917,-0.10380115794602202,0.29854468,4295806720,5052.976,F,0.15797018,
3833344829501522560,150.82514432462315,1.740728,-0.07833696385131478,2.3005722,4295806720,5052.976,F,0.15797018,
3833344863861152640,150.8431218324201,0.68005264,-0.05981519937206495,0.91483736,4295806720,5052.976,F,0.15797018,
